product_id,name,price,categories,brand
ARQ85958_UD,"Pajarera Sassari, Tamaño 100x60x176,5 cm",306.05,"Pajaro, 3.SML, Higiene Hogar",Arquivet
ARQ88561_UD,Cama Cuadrada Camuflaje Perros Y Gatos 60 Cm,32.48,"Perro, F, Hogar Cama",Arquivet
ART16376_UD,Artero Dog Deslanador,29.95,"Perro, Belleza Quitapelos, C",Artero
ART16921_UD,Artero Dog Puppy Champu Baby 250 ml,15.95,"Perro, Belleza Champus y Colonias, B",Artero
ART17203_UD,ARTERO Toalla Carbono Absorvente Perros y Gatos,10.95,"Perro, F, Belleza Toallas y Albornoces",Arquivet
ART18249_UD,Artero Dog Maquina Pelos Premium Green,189.95,"Perro, Belleza Tijeras y Cortapelos, D",Artero
ART19018_UD,Artero Dog Cepillo Carda Pua Metal Pequeña,15.05,"Perro, C, Belleza Cepillado",Artero
AVD00982_UD,3 Kg. Advance Urinary Care Dieta Especial Para Gato Salud Urinaria Y Calculos.,25.99,"Gato, Dieta Seca, F, C - digital",Advance Veterinary Diets
AVD15226_UD,3 Kg. Advance Gastroenteric Canine Dieta Especial Perros Cuidado Intestinal,22.69,"Perro, AA, C - digital, Dieta Seca",Advance Veterinary Diets
AVD15228_UD,3 Kg. Advance Renal Canine Dieta Especial Perros Cuidado Del Riñon,23.39,"Perro, C, C - digital, Dieta Seca",Advance Veterinary Diets
AVD15230_UD,3 Kg. Advance Weight Balance Canine Dieta Especial Perros Control De Peso Y Obesidad,25.49,"Perro, F, C - digital, Dieta Seca",Advance Veterinary Diets
AVD15232_UD,3 Kg. Advance Urinary Canine Dieta Especial Perros Salud Urinaria Y Calculos,22.59,"Perro, C - digital, Dieta Seca, B",Advance Veterinary Diets
AVD15234_UD,ADVANCE Dog Diabetes 3Kg,25.99,"Perro, F, Dieta Seca",Advance
AVD15236_UD,"2,5 Kg. Advance Hypoallergenic Canine Dieta Especial Perros Sensibles O Alérgicos",27.69,"Perro, AA, C - digital, Dieta Seca",Advance Veterinary Diets
AVD15237_UD,10 Kg Advance Hypoallergenic Canine Dieta Especial Perros Sensibles O Alérgicos,75.99,"Perro, A - digital, AAA, Dieta Seca",Advance Veterinary Diets
AVD15240_UD,"1,5 Kg. Advance Urinary Care Dieta Especial Para Gato Salud Urinaria Y Calculos.",18.09,"Gato, Dieta Seca, B - digital, B",Advance Veterinary Diets
AVD15244_UD,"1,5 Kg. Advance Renal Care Dieta Especial Para Gato Cuidado Del Riñon",16.49,"Gato, Dieta Seca, B - digital, B",Advance Veterinary Diets
AVD16781_UD,12 Kg Advance Gastroenteric Canine Dieta Especial Perros Cuidado Intestinal,68.99,"Perro, AA, Dieta Seca, AA - digital",Advance Veterinary Diets
AVD16807_UD,8 Kg Advance Urinary Care Dieta Especial Para Gato Salud Urinaria Y Calculos.,52.99,"Gato, Dieta Seca, B - digital, B",Advance Veterinary Diets
AVD16809_UD,12 Kg Advance Diabetes Colitis Canine Dieta Especial Perros Diabeticos,68.99,"Perro, F, Dieta Seca, AA - digital",Advance Veterinary Diets
AVD16810_UD,12 Kg Advance Urinary Canine Dieta Especial Perros Salud Urinaria Y Calculos,60.99,"Perro, A, A - digital, Dieta Seca",Advance Veterinary Diets
AVD16811_UD,12 Kg Advance Weight Balance Canine Dieta Especial Perros Control De Peso Y Obesidad,66.99,"Perro, AA, Dieta Seca, AA - digital",Advance Veterinary Diets
AVD16812_UD,12 Kg Advance Renal Canine Dieta Especial Perros Cuidado Del Riñon,67.99,"Perro, C - digital, Dieta Seca, B",Advance Veterinary Diets
AVD16816_UD,3 Kg. Advance Articular Care Refuerzo Articular Dieta Especial Perros Cuidado Articulaciones,21.49,"Perro, B - digital, Dieta Seca, B",Advance Veterinary Diets
AVD16818_UD,12 Kg Advance Articular Care Refuerzo Articular Dieta Especial Perros Cuidado Articulaciones,72.99,"Perro, F, C - digital, Dieta Seca",Advance Veterinary Diets
AVD17069_UD,3 Kg. Advance Atopic Care Piel Atopica Dieta Especial Atopia En Perros Y Cuidado De La Piel,22.99,"Perro, F, B - digital, Dieta Seca",Advance Veterinary Diets
AVD17071_UD,12 Kg Advance Atopic Care Piel Atopica Dieta Especial Atopia En Perros Y Cuidado De La Piel,72.99,"Perro, A, A - digital, Dieta Seca",Advance Veterinary Diets
AVD20569_UD,Advance Champú Atopic Care Especial Atopia En Perros Y Cuidado De La Piel 0.300 L,21.95,"Perro, F, C - digital, Salud Cuidado Especifico",Advance Veterinary Diets
AVD20644_UD,12 Kg Articular Care Reduced Calorie,68.99,"Perro, A, C - digital, Dieta Seca",Advance Veterinary Diets
AVD20645_UD,3 Kg. Articular Care Reduced Calorie,22.49,"Perro, F, C - digital, Dieta Seca",Advance Veterinary Diets
AVD20646_UD,12 Kg Advance Articular Care +7 Dieta Especial Perros Senior Cuidado Articulaciones,71.99,"Perro, A - digital, F, Dieta Seca",Advance Veterinary Diets
AVD20647_UD,3 Kg. Advance Articular Care +7 Dieta Especial Perros Senior Cuidado Articulaciones,19.69,"Perro, F, C - digital, Dieta Seca",Advance Veterinary Diets
